Date,CPID:CM03:3001:JT:CV_VALUE,CLL:CM03:2301:DS:LVL,CLL:CM03:2601:US:LVL,CPT:CM03:2302:DS:PRESS,Electric Heat Load Setpoint,Electric Heat Load Readback,Effective Gradient
2020-07-17-08:38:38,42.7602,94.2007,76.146,28.1869,32.0,32.0,1632.47445109
2020-07-17-08:38:39,42.7602,94.5669,75.8831,28.1869,32.0,32.0,1632.47445109
2020-07-17-08:38:40,42.7602,94.5669,76.105,28.1869,32.0,32.0,1632.47445109
2020-07-17-08:38:41,42.7602,94.5669,75.9906,28.1869,32.0,32.0,1632.47445109
2020-07-17-08:38:42,42.7602,94.5669,75.7997,28.1869,32.0,32.0,1632.11736149
2020-07-17-08:38:43,42.7602,94.5669,75.9266,28.1869,32.0,32.0,1632.11736149
2020-07-17-08:38:44,41.2602,94.5669,76.043,28.1869,32.0,32.0,1632.26177665
2020-07-17-08:38:45,41.2602,94.4503,76.2028,28.1869,32.0,32.0,1631.8631681
2020-07-17-08:38:46,41.2602,94.4503,76.2028,28.1869,32.0,32.0,1631.10252269
2020-07-17-08:38:47,41.2602,94.4503,76.0453,28.1869,32.0,32.0,1631.10252269
2020-07-17-08:38:48,41.2602,94.6086,76.0453,28.1869,32.0,32.0,1631.79209513
2020-07-17-08:38:49,41.2602,94.4639,75.7546,28.1869,32.0,32.0,1632.23180993
2020-07-17-08:38:50,41.2602,94.4639,76.035,28.1869,32.0,32.0,1631.57151988
2020-07-17-08:38:51,41.2602,94.4639,75.8975,28.1869,32.0,32.0,1631.84365352
2020-07-17-08:38:52,41.2602,94.4639,75.7815,28.1869,32.0,32.0,1631.61869684
2020-07-17-08:38:53,41.2602,94.4639,76.0497,28.1869,32.0,32.0,1631.80850177
2020-07-17-08:38:54,41.2602,94.4639,75.8155,28.1869,32.0,32.0,1632.33046799
2020-07-17-08:38:55,41.2602,94.4639,76.2907,28.1869,32.0,32.0,1632.33046799
2020-07-17-08:38:56,41.2602,94.2442,76.2907,28.1869,32.0,32.0,1632.29590632
2020-07-17-08:38:57,41.2602,94.3721,76.4915,28.1869,32.0,32.0,1632.28035862
2020-07-17-08:38:58,41.2602,94.3721,76.1898,28.1869,32.0,32.0,1632.60697786
2020-07-17-08:38:59,41.2602,94.1164,76.0767,28.1869,32.0,32.0,1632.60697786
2020-07-17-08:39:00,41.2602,94.2557,76.0767,28.1869,32.0,32.0,1631.70171327
2020-07-17-08:39:01,41.2602,94.2557,76.0767,28.1869,32.0,32.0,1632.16652799
2020-07-17-08:39:02,41.2602,94.6278,76.2709,28.1869,32.0,32.0,1632.09897494
2020-07-17-08:39:03,41.2602,94.4179,75.7481,28.1869,32.0,32.0,1632.09897494
2020-07-17-08:39:04,41.2602,94.4179,76.0491,28.1869,32.0,32.0,1632.44896854
2020-07-17-08:39:05,41.2602,94.2892,76.1615,28.1869,32.0,32.0,1632.44896854
2020-07-17-08:39:06,41.2602,94.2892,75.7872,28.1869,32.0,32.0,1632.49920022
2020-07-17-08:39:07,41.2602,94.403,76.0079,28.1869,32.0,32.0,1633.23127923
2020-07-17-08:39:08,41.2602,94.2845,75.8479,28.1869,32.0,32.0,1632.8844663
2020-07-17-08:39:09,41.2602,94.3889,75.8479,28.1869,32.0,32.0,1632.79579698
